ts,qArr,instArr,startEx,endEx,flops
18.203000,18.142000,18.142000,18.142000,18.203000,32000000.000000
18.353000,18.321000,18.321000,18.321000,18.353000,32000000.000000
18.413000,18.369000,18.369000,18.369000,18.413000,32000000.000000
18.433000,18.389000,18.389000,18.389000,18.433000,32000000.000000
18.490000,18.458000,18.458000,18.458000,18.490000,32000000.000000
18.546000,18.514000,18.514000,18.514000,18.546000,32000000.000000
18.596000,18.564000,18.564000,18.564000,18.596000,32000000.000000
18.753000,18.709000,18.709000,18.709000,18.753000,32000000.000000
18.795000,18.730000,18.730000,18.730000,18.795000,32000000.000000
18.805000,18.750000,18.750000,18.750000,18.805000,32000000.000000
18.898000,18.866000,18.866000,18.866000,18.898000,32000000.000000
19.008000,18.947000,18.947000,18.947000,19.008000,32000000.000000
19.011000,18.950000,18.950000,18.950000,19.011000,32000000.000000
19.141000,19.109000,19.109000,19.109000,19.141000,32000000.000000
19.195000,19.163000,19.163000,19.163000,19.195000,32000000.000000
19.301500,19.220000,19.220000,19.220000,19.301500,32000000.000000
19.301500,19.220000,19.220000,19.220000,19.301500,32000000.000000
19.330000,19.249000,19.249000,19.249000,19.330000,32000000.000000
19.348000,19.302000,19.302000,19.302000,19.348000,32000000.000000
19.539000,19.507000,19.507000,19.507000,19.539000,32000000.000000
19.580000,19.548000,19.548000,19.548000,19.580000,32000000.000000
19.651000,19.619000,19.619000,19.619000,19.651000,32000000.000000
19.688000,19.656000,19.656000,19.656000,19.688000,32000000.000000
19.742000,19.710000,19.710000,19.710000,19.742000,32000000.000000
19.864000,19.819000,19.819000,19.819000,19.864000,32000000.000000
19.883000,19.838000,19.838000,19.838000,19.883000,32000000.000000
19.926000,19.894000,19.894000,19.894000,19.926000,32000000.000000
20.320667,20.252000,20.252000,20.252000,20.320667,32000000.000000
20.350222,20.261000,20.261000,20.261000,20.350222,32000000.000000
20.395222,20.291000,20.291000,20.291000,20.395222,32000000.000000
20.399889,20.298000,20.298000,20.298000,20.399889,32000000.000000
20.417000,20.340000,20.340000,20.340000,20.417000,32000000.000000
20.444000,20.407000,20.407000,20.407000,20.444000,32000000.000000
20.563500,20.468000,20.468000,20.468000,20.563500,32000000.000000
