ts,qArr,instArr,startEx,endEx,flops
18.750953,18.750000,18.750000,18.750000,18.750953,953333.000000
18.866953,18.866000,18.866000,18.866000,18.866953,953333.000000
18.947953,18.947000,18.947000,18.947000,18.947953,953333.000000
18.950953,18.950000,18.950000,18.950000,18.950953,953333.000000
19.109953,19.109000,19.109000,19.109000,19.109953,953333.000000
19.163953,19.163000,19.163000,19.163000,19.163953,953333.000000
19.221907,19.220000,19.220000,19.220000,19.221907,953333.000000
19.221907,19.220000,19.220000,19.220000,19.221907,953333.000000
19.249953,19.249000,19.249000,19.249000,19.249953,953333.000000
19.302953,19.302000,19.302000,19.302000,19.302953,953333.000000
19.507953,19.507000,19.507000,19.507000,19.507953,953333.000000
19.548953,19.548000,19.548000,19.548000,19.548953,953333.000000
19.619953,19.619000,19.619000,19.619000,19.619953,953333.000000
19.656953,19.656000,19.656000,19.656000,19.656953,953333.000000
19.710953,19.710000,19.710000,19.710000,19.710953,953333.000000
19.819953,19.819000,19.819000,19.819000,19.819953,953333.000000
19.838953,19.838000,19.838000,19.838000,19.838953,953333.000000
19.894953,19.894000,19.894000,19.894000,19.894953,953333.000000
20.252953,20.252000,20.252000,20.252000,20.252953,953333.000000
20.261953,20.261000,20.261000,20.261000,20.261953,953333.000000
20.291953,20.291000,20.291000,20.291000,20.291953,953333.000000
20.298953,20.298000,20.298000,20.298000,20.298953,953333.000000
20.340953,20.340000,20.340000,20.340000,20.340953,953333.000000
20.407953,20.407000,20.407000,20.407000,20.407953,953333.000000
20.470360,20.468000,20.468000,20.468000,20.470360,953333.000000
20.470360,20.468000,20.468000,20.468000,20.470360,953333.000000
20.470860,20.469000,20.469000,20.469000,20.470860,953333.000000
20.615953,20.615000,20.615000,20.615000,20.615953,953333.000000
20.720953,20.720000,20.720000,20.720000,20.720953,953333.000000
20.751953,20.751000,20.751000,20.751000,20.751953,953333.000000
20.825953,20.825000,20.825000,20.825000,20.825953,953333.000000
20.967953,20.967000,20.967000,20.967000,20.967953,953333.000000
21.204953,21.204000,21.204000,21.204000,21.204953,953333.000000
21.265953,21.265000,21.265000,21.265000,21.265953,953333.000000
21.273953,21.273000,21.273000,21.273000,21.273953,953333.000000
21.320953,21.320000,21.320000,21.320000,21.320953,953333.000000
21.350953,21.350000,21.350000,21.350000,21.350953,953333.000000
21.380953,21.380000,21.380000,21.380000,21.380953,953333.000000
21.390953,21.390000,21.390000,21.390000,21.390953,953333.000000
21.398953,21.398000,21.398000,21.398000,21.398953,953333.000000
21.410953,21.410000,21.410000,21.410000,21.410953,953333.000000
21.475953,21.475000,21.475000,21.475000,21.475953,953333.000000
21.483953,21.483000,21.483000,21.483000,21.483953,953333.000000
21.663953,21.663000,21.663000,21.663000,21.663953,953333.000000
21.766953,21.766000,21.766000,21.766000,21.766953,953333.000000
21.974953,21.974000,21.974000,21.974000,21.974953,953333.000000
22.108953,22.108000,22.108000,22.108000,22.108953,953333.000000
22.300953,22.300000,22.300000,22.300000,22.300953,953333.000000
22.469953,22.469000,22.469000,22.469000,22.469953,953333.000000
22.485953,22.485000,22.485000,22.485000,22.485953,953333.000000
22.486953,22.486000,22.486000,22.486000,22.486953,953333.000000
22.491953,22.491000,22.491000,22.491000,22.491953,953333.000000
22.631953,22.631000,22.631000,22.631000,22.631953,953333.000000
22.708953,22.708000,22.708000,22.708000,22.708953,953333.000000
22.739953,22.739000,22.739000,22.739000,22.739953,953333.000000
22.752953,22.752000,22.752000,22.752000,22.752953,953333.000000
22.858953,22.858000,22.858000,22.858000,22.858953,953333.000000
22.930953,22.930000,22.930000,22.930000,22.930953,953333.000000
22.951953,22.951000,22.951000,22.951000,22.951953,953333.000000
22.975953,22.975000,22.975000,22.975000,22.975953,953333.000000
23.226953,23.226000,23.226000,23.226000,23.226953,953333.000000
23.251953,23.251000,23.251000,23.251000,23.251953,953333.000000
23.314953,23.314000,23.314000,23.314000,23.314953,953333.000000
23.469953,23.469000,23.469000,23.469000,23.469953,953333.000000
23.496953,23.496000,23.496000,23.496000,23.496953,953333.000000
23.517953,23.517000,23.517000,23.517000,23.517953,953333.000000
23.522953,23.522000,23.522000,23.522000,23.522953,953333.000000
23.640953,23.640000,23.640000,23.640000,23.640953,953333.000000
23.670953,23.670000,23.670000,23.670000,23.670953,953333.000000
23.692953,23.692000,23.692000,23.692000,23.692953,953333.000000
23.794953,23.794000,23.794000,23.794000,23.794953,953333.000000
23.897953,23.897000,23.897000,23.897000,23.897953,953333.000000
23.928953,23.928000,23.928000,23.928000,23.928953,953333.000000
23.940953,23.940000,23.940000,23.940000,23.940953,953333.000000
24.180953,24.180000,24.180000,24.180000,24.180953,953333.000000
24.204953,24.204000,24.204000,24.204000,24.204953,953333.000000
24.234953,24.234000,24.234000,24.234000,24.234953,953333.000000
24.318953,24.318000,24.318000,24.318000,24.318953,953333.000000
24.348953,24.348000,24.348000,24.348000,24.348953,953333.000000
24.570953,24.570000,24.570000,24.570000,24.570953,953333.000000
24.620953,24.620000,24.620000,24.620000,24.620953,953333.000000
24.713953,24.713000,24.713000,24.713000,24.713953,953333.000000
24.722953,24.722000,24.722000,24.722000,24.722953,953333.000000
24.724953,24.724000,24.724000,24.724000,24.724953,953333.000000
24.744953,24.744000,24.744000,24.744000,24.744953,953333.000000
24.790953,24.790000,24.790000,24.790000,24.790953,953333.000000
24.889953,24.889000,24.889000,24.889000,24.889953,953333.000000
24.968953,24.968000,24.968000,24.968000,24.968953,953333.000000
25.229953,25.229000,25.229000,25.229000,25.229953,953333.000000
25.354953,25.354000,25.354000,25.354000,25.354953,953333.000000
25.370953,25.370000,25.370000,25.370000,25.370953,953333.000000
25.376953,25.376000,25.376000,25.376000,25.376953,953333.000000
25.410953,25.410000,25.410000,25.410000,25.410953,953333.000000
25.419953,25.419000,25.419000,25.419000,25.419953,953333.000000
25.602953,25.602000,25.602000,25.602000,25.602953,953333.000000
25.620953,25.620000,25.620000,25.620000,25.620953,953333.000000
25.658953,25.658000,25.658000,25.658000,25.658953,953333.000000
25.669953,25.669000,25.669000,25.669000,25.669953,953333.000000
25.850953,25.850000,25.850000,25.850000,25.850953,953333.000000
25.875953,25.875000,25.875000,25.875000,25.875953,953333.000000
25.906953,25.906000,25.906000,25.906000,25.906953,953333.000000
25.924953,25.924000,25.924000,25.924000,25.924953,953333.000000
26.127953,26.127000,26.127000,26.127000,26.127953,953333.000000
26.145907,26.144000,26.144000,26.144000,26.145907,953333.000000
26.145907,26.144000,26.144000,26.144000,26.145907,953333.000000
26.262953,26.262000,26.262000,26.262000,26.262953,953333.000000
26.336953,26.336000,26.336000,26.336000,26.336953,953333.000000
26.395953,26.395000,26.395000,26.395000,26.395953,953333.000000
26.434953,26.434000,26.434000,26.434000,26.434953,953333.000000
26.500953,26.500000,26.500000,26.500000,26.500953,953333.000000
26.610953,26.610000,26.610000,26.610000,26.610953,953333.000000
26.716953,26.716000,26.716000,26.716000,26.716953,953333.000000
26.764953,26.764000,26.764000,26.764000,26.764953,953333.000000
26.777953,26.777000,26.777000,26.777000,26.777953,953333.000000
26.854953,26.854000,26.854000,26.854000,26.854953,953333.000000
26.950953,26.950000,26.950000,26.950000,26.950953,953333.000000
27.222953,27.222000,27.222000,27.222000,27.222953,953333.000000
27.393953,27.393000,27.393000,27.393000,27.393953,953333.000000
27.454953,27.454000,27.454000,27.454000,27.454953,953333.000000
27.466953,27.466000,27.466000,27.466000,27.466953,953333.000000
27.570953,27.570000,27.570000,27.570000,27.570953,953333.000000
27.578953,27.578000,27.578000,27.578000,27.578953,953333.000000
27.679953,27.679000,27.679000,27.679000,27.679953,953333.000000
27.778953,27.778000,27.778000,27.778000,27.778953,953333.000000
27.843953,27.843000,27.843000,27.843000,27.843953,953333.000000
27.844953,27.844000,27.844000,27.844000,27.844953,953333.000000
27.857953,27.857000,27.857000,27.857000,27.857953,953333.000000
27.937953,27.937000,27.937000,27.937000,27.937953,953333.000000
27.976953,27.976000,27.976000,27.976000,27.976953,953333.000000
27.987953,27.987000,27.987000,27.987000,27.987953,953333.000000
28.247953,28.247000,28.247000,28.247000,28.247953,953333.000000
28.292953,28.292000,28.292000,28.292000,28.292953,953333.000000
28.314953,28.314000,28.314000,28.314000,28.314953,953333.000000
28.403953,28.403000,28.403000,28.403000,28.403953,953333.000000
28.452953,28.452000,28.452000,28.452000,28.452953,953333.000000
28.497953,28.497000,28.497000,28.497000,28.497953,953333.000000
28.674953,28.674000,28.674000,28.674000,28.674953,953333.000000
28.720953,28.720000,28.720000,28.720000,28.720953,953333.000000
28.735953,28.735000,28.735000,28.735000,28.735953,953333.000000
28.746953,28.746000,28.746000,28.746000,28.746953,953333.000000
28.830953,28.830000,28.830000,28.830000,28.830953,953333.000000
28.873953,28.873000,28.873000,28.873000,28.873953,953333.000000
28.970953,28.970000,28.970000,28.970000,28.970953,953333.000000
28.997953,28.997000,28.997000,28.997000,28.997953,953333.000000
29.138953,29.138000,29.138000,29.138000,29.138953,953333.000000
29.329953,29.329000,29.329000,29.329000,29.329953,953333.000000
29.413953,29.413000,29.413000,29.413000,29.413953,953333.000000
29.415953,29.415000,29.415000,29.415000,29.415953,953333.000000
29.612953,29.612000,29.612000,29.612000,29.612953,953333.000000
29.633953,29.633000,29.633000,29.633000,29.633953,953333.000000
29.680953,29.680000,29.680000,29.680000,29.680953,953333.000000
29.716953,29.716000,29.716000,29.716000,29.716953,953333.000000
29.768953,29.768000,29.768000,29.768000,29.768953,953333.000000
29.780953,29.780000,29.780000,29.780000,29.780953,953333.000000
29.875953,29.875000,29.875000,29.875000,29.875953,953333.000000
29.925953,29.925000,29.925000,29.925000,29.925953,953333.000000
29.991953,29.991000,29.991000,29.991000,29.991953,953333.000000
30.200953,30.200000,30.200000,30.200000,30.200953,953333.000000
30.304953,30.304000,30.304000,30.304000,30.304953,953333.000000
30.310953,30.310000,30.310000,30.310000,30.310953,953333.000000
30.374953,30.374000,30.374000,30.374000,30.374953,953333.000000
