ts,qArr,instArr,startEx,endEx,flops
271.709221,271.483000,271.483000,271.485221,271.709221,32000000.000000
271.803412,271.494000,271.494000,271.579412,271.803412,32000000.000000
271.826239,271.522000,271.602239,271.633000,271.826239,32000000.000000
271.826239,271.520000,271.579412,271.602239,271.826239,32000000.000000
271.857000,271.826239,271.826240,271.826240,271.857000,32000000.000000
271.906000,271.616000,271.633000,271.682000,271.906000,32000000.000000
271.930888,271.641000,271.709221,271.803412,271.930888,32000000.000000
271.933221,271.930888,271.930888,271.930888,271.933221,32000000.000000
272.027412,271.933221,271.933221,271.933221,272.027412,32000000.000000
272.050239,271.732000,271.826239,271.826239,272.050239,32000000.000000
272.050239,271.677000,271.803412,271.826239,272.050239,32000000.000000
272.081000,271.819000,271.826239,271.857000,272.081000,32000000.000000
272.130000,271.880000,271.880000,271.906000,272.130000,32000000.000000
272.154888,271.881000,271.906000,271.930888,272.154888,32000000.000000
272.156888,271.897000,271.930888,271.933221,272.156888,32000000.000000
272.228601,271.937000,271.937000,272.027412,272.228601,32000000.000000
272.245887,271.988000,272.050239,272.050239,272.245887,32000000.000000
272.245887,271.988000,272.050239,272.050239,272.245887,32000000.000000
272.265330,271.989000,272.050239,272.081000,272.265330,32000000.000000
272.294163,272.123000,272.123000,272.130000,272.294163,32000000.000000
272.358012,272.202000,272.202000,272.202000,272.358012,32000000.000000
272.391894,272.240000,272.240000,272.240000,272.391894,32000000.000000
272.410529,272.256000,272.256000,272.256000,272.410529,32000000.000000
272.460242,272.290000,272.290000,272.290000,272.460242,32000000.000000
272.474535,272.299000,272.299000,272.299000,272.474535,32000000.000000
272.552935,272.355000,272.355000,272.355000,272.552935,32000000.000000
272.601232,272.390000,272.390000,272.390000,272.601232,32000000.000000
272.620390,272.404000,272.404000,272.404000,272.620390,32000000.000000
272.649667,272.426000,272.426000,272.426000,272.649667,32000000.000000
272.652000,272.428000,272.428000,272.428000,272.652000,32000000.000000
272.684242,272.444000,272.444000,272.460242,272.684242,32000000.000000
272.698535,272.470000,272.470000,272.474535,272.698535,32000000.000000
272.776935,272.511000,272.511000,272.552935,272.776935,32000000.000000
272.825232,272.550000,272.552935,272.601232,272.825232,32000000.000000
272.844390,272.562000,272.620390,272.649667,272.844390,32000000.000000
272.873667,272.844390,272.844390,272.844390,272.873667,32000000.000000
272.876000,272.600000,272.649667,272.652000,272.876000,32000000.000000
272.908242,272.652000,272.652000,272.684242,272.908242,32000000.000000
272.922535,272.685000,272.685000,272.698535,272.922535,32000000.000000
273.000935,272.695000,272.698535,272.776935,273.000935,32000000.000000
