ts,qArr,instArr,startEx,endEx,flops,serv
76.000414,76.000000,76.000000,76.000000,76.000414,414200.000000,service1
76.003737,76.000414,76.000414,76.000414,76.003737,3323000.000000,service2
79.000414,79.000000,79.000000,79.000000,79.000414,414200.000000,service1
79.003737,79.000414,79.000414,79.000414,79.003737,3323000.000000,service2
82.000414,82.000000,82.000000,82.000000,82.000414,414200.000000,service1
82.003737,82.000414,82.000414,82.000414,82.003737,3323000.000000,service2
85.000414,85.000000,85.000000,85.000000,85.000414,414200.000000,service1
85.003737,85.000414,85.000414,85.000414,85.003737,3323000.000000,service2
88.000414,88.000000,88.000000,88.000000,88.000414,414200.000000,service1
88.003737,88.000414,88.000414,88.000414,88.003737,3323000.000000,service2
91.000414,91.000000,91.000000,91.000000,91.000414,414200.000000,service1
91.003737,91.000414,91.000414,91.000414,91.003737,3323000.000000,service2
94.000414,94.000000,94.000000,94.000000,94.000414,414200.000000,service1
94.003737,94.000414,94.000414,94.000414,94.003737,3323000.000000,service2
97.000414,97.000000,97.000000,97.000000,97.000414,414200.000000,service1
97.003737,97.000414,97.000414,97.000414,97.003737,3323000.000000,service2
100.000414,100.000000,100.000000,100.000000,100.000414,414200.000000,service1
100.003737,100.000414,100.000414,100.000414,100.003737,3323000.000000,service2
103.000414,103.000000,103.000000,103.000000,103.000414,414200.000000,service1
103.003737,103.000414,103.000414,103.000414,103.003737,3323000.000000,service2
106.000414,106.000000,106.000000,106.000000,106.000414,414200.000000,service1
106.003737,106.000414,106.000414,106.000414,106.003737,3323000.000000,service2
109.000414,109.000000,109.000000,109.000000,109.000414,414200.000000,service1
109.003737,109.000414,109.000414,109.000414,109.003737,3323000.000000,service2
112.000414,112.000000,112.000000,112.000000,112.000414,414200.000000,service1
112.003737,112.000414,112.000414,112.000414,112.003737,3323000.000000,service2
115.000414,115.000000,115.000000,115.000000,115.000414,414200.000000,service1
115.003737,115.000414,115.000414,115.000414,115.003737,3323000.000000,service2
118.000414,118.000000,118.000000,118.000000,118.000414,414200.000000,service1
118.003737,118.000414,118.000414,118.000414,118.003737,3323000.000000,service2
121.000414,121.000000,121.000000,121.000000,121.000414,414200.000000,service1
121.003737,121.000414,121.000414,121.000414,121.003737,3323000.000000,service2
124.000414,124.000000,124.000000,124.000000,124.000414,414200.000000,service1
124.003737,124.000414,124.000414,124.000414,124.003737,3323000.000000,service2
127.000414,127.000000,127.000000,127.000000,127.000414,414200.000000,service1
127.003737,127.000414,127.000414,127.000414,127.003737,3323000.000000,service2
130.000414,130.000000,130.000000,130.000000,130.000414,414200.000000,service1
130.003737,130.000414,130.000414,130.000414,130.003737,3323000.000000,service2
133.000414,133.000000,133.000000,133.000000,133.000414,414200.000000,service1
133.003737,133.000414,133.000414,133.000414,133.003737,3323000.000000,service2
136.000414,136.000000,136.000000,136.000000,136.000414,414200.000000,service1
136.003737,136.000414,136.000414,136.000414,136.003737,3323000.000000,service2
139.000414,139.000000,139.000000,139.000000,139.000414,414200.000000,service1
139.003737,139.000414,139.000414,139.000414,139.003737,3323000.000000,service2
142.000414,142.000000,142.000000,142.000000,142.000414,414200.000000,service1
142.003737,142.000414,142.000414,142.000414,142.003737,3323000.000000,service2
145.000414,145.000000,145.000000,145.000000,145.000414,414200.000000,service1
145.003737,145.000414,145.000414,145.000414,145.003737,3323000.000000,service2
148.000414,148.000000,148.000000,148.000000,148.000414,414200.000000,service1
148.003737,148.000414,148.000414,148.000414,148.003737,3323000.000000,service2
151.000414,151.000000,151.000000,151.000000,151.000414,414200.000000,service1
151.003737,151.000414,151.000414,151.000414,151.003737,3323000.000000,service2
154.000414,154.000000,154.000000,154.000000,154.000414,414200.000000,service1
154.003737,154.000414,154.000414,154.000414,154.003737,3323000.000000,service2
157.000414,157.000000,157.000000,157.000000,157.000414,414200.000000,service1
157.003737,157.000414,157.000414,157.000414,157.003737,3323000.000000,service2
160.000414,160.000000,160.000000,160.000000,160.000414,414200.000000,service1
160.003737,160.000414,160.000414,160.000414,160.003737,3323000.000000,service2
163.000414,163.000000,163.000000,163.000000,163.000414,414200.000000,service1
163.003737,163.000414,163.000414,163.000414,163.003737,3323000.000000,service2
166.000414,166.000000,166.000000,166.000000,166.000414,414200.000000,service1
166.003737,166.000414,166.000414,166.000414,166.003737,3323000.000000,service2
169.000414,169.000000,169.000000,169.000000,169.000414,414200.000000,service1
169.003737,169.000414,169.000414,169.000414,169.003737,3323000.000000,service2
172.000414,172.000000,172.000000,172.000000,172.000414,414200.000000,service1
172.003737,172.000414,172.000414,172.000414,172.003737,3323000.000000,service2
175.000414,175.000000,175.000000,175.000000,175.000414,414200.000000,service1
175.003737,175.000414,175.000414,175.000414,175.003737,3323000.000000,service2
178.000414,178.000000,178.000000,178.000000,178.000414,414200.000000,service1
178.003737,178.000414,178.000414,178.000414,178.003737,3323000.000000,service2
181.000414,181.000000,181.000000,181.000000,181.000414,414200.000000,service1
181.003737,181.000414,181.000414,181.000414,181.003737,3323000.000000,service2
184.000414,184.000000,184.000000,184.000000,184.000414,414200.000000,service1
184.003737,184.000414,184.000414,184.000414,184.003737,3323000.000000,service2
187.000414,187.000000,187.000000,187.000000,187.000414,414200.000000,service1
187.003737,187.000414,187.000414,187.000414,187.003737,3323000.000000,service2
190.000414,190.000000,190.000000,190.000000,190.000414,414200.000000,service1
