ts,qArr,instArr,startEx,endEx,flops,serv
21.390234,21.390000,21.390000,21.390000,21.390234,234400.000000,service1
21.398234,21.398000,21.398000,21.398000,21.398234,234400.000000,service1
21.410234,21.410000,21.410000,21.410000,21.410234,234400.000000,service1
21.475234,21.475000,21.475000,21.475000,21.475234,234400.000000,service1
21.483234,21.483000,21.483000,21.483000,21.483234,234400.000000,service1
21.663234,21.663000,21.663000,21.663000,21.663234,234400.000000,service1
21.766234,21.766000,21.766000,21.766000,21.766234,234400.000000,service1
21.974234,21.974000,21.974000,21.974000,21.974234,234400.000000,service1
22.108234,22.108000,22.108000,22.108000,22.108234,234400.000000,service1
22.300234,22.300000,22.300000,22.300000,22.300234,234400.000000,service1
22.469234,22.469000,22.469000,22.469000,22.469234,234400.000000,service1
22.485234,22.485000,22.485000,22.485000,22.485234,234400.000000,service1
22.486234,22.486000,22.486000,22.486000,22.486234,234400.000000,service1
22.491234,22.491000,22.491000,22.491000,22.491234,234400.000000,service1
22.631234,22.631000,22.631000,22.631000,22.631234,234400.000000,service1
22.708234,22.708000,22.708000,22.708000,22.708234,234400.000000,service1
22.739234,22.739000,22.739000,22.739000,22.739234,234400.000000,service1
22.752234,22.752000,22.752000,22.752000,22.752234,234400.000000,service1
22.858234,22.858000,22.858000,22.858000,22.858234,234400.000000,service1
22.930234,22.930000,22.930000,22.930000,22.930234,234400.000000,service1
22.951234,22.951000,22.951000,22.951000,22.951234,234400.000000,service1
22.975234,22.975000,22.975000,22.975000,22.975234,234400.000000,service1
23.226234,23.226000,23.226000,23.226000,23.226234,234400.000000,service1
23.251234,23.251000,23.251000,23.251000,23.251234,234400.000000,service1
23.314234,23.314000,23.314000,23.314000,23.314234,234400.000000,service1
23.469234,23.469000,23.469000,23.469000,23.469234,234400.000000,service1
23.496234,23.496000,23.496000,23.496000,23.496234,234400.000000,service1
23.517234,23.517000,23.517000,23.517000,23.517234,234400.000000,service1
23.522234,23.522000,23.522000,23.522000,23.522234,234400.000000,service1
23.640234,23.640000,23.640000,23.640000,23.640234,234400.000000,service1
23.670234,23.670000,23.670000,23.670000,23.670234,234400.000000,service1
23.692234,23.692000,23.692000,23.692000,23.692234,234400.000000,service1
23.794234,23.794000,23.794000,23.794000,23.794234,234400.000000,service1
23.897234,23.897000,23.897000,23.897000,23.897234,234400.000000,service1
23.928234,23.928000,23.928000,23.928000,23.928234,234400.000000,service1
23.940234,23.940000,23.940000,23.940000,23.940234,234400.000000,service1
24.180234,24.180000,24.180000,24.180000,24.180234,234400.000000,service1
24.204234,24.204000,24.204000,24.204000,24.204234,234400.000000,service1
24.234234,24.234000,24.234000,24.234000,24.234234,234400.000000,service1
24.318234,24.318000,24.318000,24.318000,24.318234,234400.000000,service1
24.348234,24.348000,24.348000,24.348000,24.348234,234400.000000,service1
24.570234,24.570000,24.570000,24.570000,24.570234,234400.000000,service1
