perc,nbn,sample,conn,load,meanLat,reqPerSec,nbC
100,2.1,7,2,200,4.079,199.71,10
100,2.1,7,3,300,3.915,298.58,10
100,2.1,7,4,400,3.781,397.20,10
100,2.1,7,5,500,3.764,499.36,10
100,2.1,7,6,600,3.672,596.29,10
100,2.1,7,7,700,3.631,692.23,10
100,2.1,7,8,800,9.564,796.25,10
100,2.1,7,9,900,3.730,895.03,10
100,2.1,7,10,1000,12.966,997.70,10
100,2.1,7,11,1100,19.133,1095.95,10
100,2.1,7,12,1200,4.154,1193.42,10
100,2.1,7,13,1300,9.693,1293.15,10
100,2.1,7,14,1400,7.084,1395.20,10
100,2.1,7,15,1500,17.816,1492.30,10
100,2.1,7,16,1600,10.528,1591.14,10
100,2.1,7,17,1700,21.950,1688.34,10
100,2.1,7,18,1800,473.956,1746.56,10
100,2.1,7,19,1900,2789.375,1607.77,10
100,2.1,7,20,2000,2625.240,1553.89,10
100,2.1,8,1,100,5.340,100.00,10
100,2.1,8,2,200,4.003,199.74,10
100,2.1,8,3,300,3.978,298.59,10
100,2.1,8,4,400,3.844,397.19,10
100,2.1,8,5,500,3.716,499.37,10
100,2.1,8,6,600,3.693,596.30,10
100,2.1,8,7,700,3.682,692.26,10
100,2.1,8,8,800,12.940,796.24,10
100,2.1,8,9,900,3.762,895.04,10
100,2.1,8,10,1000,3.884,997.74,10
100,2.1,8,11,1100,4.026,1095.95,10
100,2.1,8,12,1200,13.829,1193.42,10
100,2.1,8,13,1300,10.557,1293.16,10
100,2.1,8,14,1400,4.907,1348.90,10
100,2.1,8,15,1500,5.098,1492.33,10
100,2.1,8,16,1600,20.505,1591.09,10
100,2.1,8,17,1700,20.062,1691.25,10
100,2.1,8,18,1800,34.470,1789.53,10
100,2.1,8,19,1900,925.459,1800.49,10
100,2.1,8,20,2000,1793.461,1804.99,10
100,2.1,9,1,100,4.033,99.99,10
100,2.1,9,2,200,4.040,199.74,10
100,2.1,9,3,300,3.908,298.59,10
100,2.1,9,4,400,20.194,397.19,10
100,2.1,9,5,500,32.311,499.36,10
100,2.1,9,6,600,3.633,596.29,10
100,2.1,9,7,700,3.679,692.27,10
100,2.1,9,8,800,3.764,767.40,10
100,2.1,9,9,900,3.762,895.03,10
100,2.1,9,10,1000,3.897,997.71,10
100,2.1,9,11,1100,3.969,1095.98,10
