perc,nbn,sample,conn,load,meanLat,reqPerSec
30,1,4,1,281,20474.073,4.09
30,1,4,1,301,20477.026,3.68
30,1,5,1,1,24.865,1.07
30,1,5,1,21,319.806,22.23
30,1,5,1,41,7204.743,28.36
30,1,5,1,61,4607.017,50.20
30,1,5,1,81,11120.821,46.18
30,1,5,1,101,13835.447,41.52
30,1,5,1,121,16663.987,27.33
30,1,5,1,141,16887.359,21.13
30,1,5,1,161,17895.528,16.96
30,1,5,1,181,18558.781,11.44
30,1,5,1,201,18958.982,8.72
30,1,5,1,221,21152.649,7.66
30,1,5,1,241,19604.442,8.30
30,1,5,1,261,18178.138,8.89
30,1,5,1,281,20240.849,8.49
30,1,5,1,301,19223.766,8.06
30,12,1,1,1,10.691,1.06
30,12,1,1,21,18.408,22.50
30,12,1,1,41,363.613,41.99
30,12,1,1,61,840.374,61.36
30,12,1,1,81,4538.653,58.31
30,12,1,1,101,14865.680,34.83
30,12,1,1,121,14413.756,27.82
30,12,1,1,141,16912.121,17.13
30,12,1,1,161,16533.199,17.31
30,12,1,1,181,18587.901,19.92
30,12,1,1,201,16869.930,16.70
30,12,1,1,221,19363.589,12.61
30,12,1,1,241,18458.869,10.55
30,12,1,1,261,19631.031,8.83
30,12,1,1,281,18471.354,9.33
30,12,1,1,301,19510.126,7.15
30,12,2,1,1,11.360,1.06
30,12,2,1,21,33.519,22.48
30,12,2,1,41,86.214,42.15
30,12,2,1,61,5798.277,46.28
30,12,2,1,81,11570.398,41.10
30,12,2,1,101,14864.400,25.23
30,12,2,1,121,16732.389,20.25
30,12,2,1,141,17990.049,14.06
30,12,2,1,161,17755.240,15.00
30,12,2,1,181,18697.747,12.40
30,12,2,1,201,19713.247,13.03
30,12,2,1,221,19661.725,11.76
30,12,2,1,241,19189.302,8.87
30,12,2,1,261,19035.089,9.06
30,12,2,1,281,19726.592,9.36
30,12,2,1,301,17736.079,11.86
30,12,3,1,1,11.321,1.06
30,12,3,1,21,42.264,22.50
30,12,3,1,41,150.395,42.05
30,12,3,1,61,6623.270,48.65
30,12,3,1,81,1692.874,81.56
30,12,3,1,101,3127.920,83.66
30,12,3,1,121,8362.086,66.29
30,12,3,1,141,16572.008,31.67
30,12,3,1,161,15753.833,41.65
30,12,3,1,181,15966.009,26.77
30,12,3,1,201,19888.372,17.09
30,12,3,1,221,16426.436,26.19
30,12,3,1,241,17647.265,19.86
30,12,3,1,261,19566.416,17.73
30,12,3,1,281,17474.790,17.60
30,12,3,1,301,19430.772,8.94
30,12,4,1,1,15.675,1.07
30,12,4,1,21,29.438,22.48
30,12,4,1,41,288.724,41.83
30,12,4,1,61,6381.333,42.77
30,12,4,1,81,8788.658,46.10
30,12,4,1,101,16249.051,28.13
30,12,4,1,121,15788.471,25.56
30,12,4,1,141,17899.136,16.59
30,12,4,1,161,18114.552,13.69
30,12,4,1,181,19075.349,15.03
30,12,4,1,201,18177.295,12.03
30,12,4,1,221,17781.450,12.01
30,12,4,1,241,19006.884,8.95
30,12,4,1,261,18990.282,7.99
30,12,4,1,281,19217.493,7.69
30,12,4,1,301,19243.827,6.69
30,12,5,1,1,21.487,1.07
30,12,5,1,21,34.015,22.46
30,12,5,1,41,159.867,42.29
30,12,5,1,61,2527.127,57.04
30,12,5,1,81,5047.856,62.43
30,12,5,1,101,11663.932,49.03
30,12,5,1,121,15406.909,28.54
30,12,5,1,141,17506.295,24.73
30,12,5,1,161,16790.750,20.48
30,12,5,1,181,18820.730,14.33
30,12,5,1,201,18678.543,10.22
30,12,5,1,221,18492.669,14.36
30,12,5,1,241,18734.598,8.89
30,12,5,1,261,19719.261,8.53
30,12,5,1,281,19212.368,8.58
30,12,5,1,301,20221.767,7.39
20,1,1,1,1,31.525,1.06
20,1,1,1,21,4402.275,18.66
20,1,1,1,41,11582.060,17.67
20,1,1,1,61,17621.059,11.05
20,1,1,1,81,17680.749,10.42
20,1,1,1,101,19932.338,11.93
20,1,1,1,121,17895.572,5.85
20,1,1,1,141,19063.073,4.32
20,1,1,1,161,19478.905,3.63
20,1,1,1,181,20437.650,2.73
20,1,1,1,201,20182.799,3.06
20,1,1,1,221,17382.491,4.33
20,1,1,1,241,20178.203,2.26
20,1,1,1,261,19044.570,2.33
20,1,1,1,281,20970.651,2.89
20,1,1,1,301,20125.379,3.40
20,1,2,1,1,38.455,1.07
20,1,2,1,21,885.237,22.43
20,1,2,1,41,11482.338,18.66
20,1,2,1,61,17980.533,8.16
20,1,2,1,81,19294.128,7.39
20,1,2,1,101,18753.291,6.29
20,1,2,1,121,19584.908,5.64
20,1,2,1,141,17945.819,4.50
20,1,2,1,161,20567.604,4.43
20,1,2,1,181,19877.978,4.18
20,1,2,1,201,20138.555,2.91
20,1,2,1,221,19845.189,2.80
20,1,2,1,241,19901.302,2.93
20,1,2,1,261,20607.940,2.45
20,1,2,1,281,19782.205,3.24
20,1,2,1,301,19216.460,4.18
20,1,3,1,1,25.747,1.06
20,1,3,1,21,6869.932,15.26
20,1,3,1,41,12509.456,16.40
20,1,3,1,61,17417.656,8.96
20,1,3,1,81,18411.414,7.53
20,1,3,1,101,16229.917,10.94
20,1,3,1,121,19974.893,5.89
20,1,3,1,141,19221.762,5.07
20,1,3,1,161,20599.114,4.07
20,1,3,1,181,19402.140,4.25
20,1,3,1,201,18244.506,4.36
20,1,3,1,221,19526.841,3.20
20,1,3,1,241,21310.855,4.22
20,1,3,1,261,20433.595,3.55
20,1,3,1,281,19800.633,3.17
20,1,3,1,301,20196.526,2.63
20,1,4,1,1,34.363,1.07
20,1,4,1,21,469.120,22.36
20,1,4,1,41,11755.811,17.10
20,1,4,1,61,18316.965,9.38
20,1,4,1,81,18420.407,7.33
20,1,4,1,101,18628.868,7.42
20,1,4,1,121,20108.462,7.11
20,1,4,1,141,17886.568,7.21
20,1,4,1,161,17874.773,5.94
20,1,4,1,181,19713.746,5.08
20,1,4,1,201,18814.120,4.95
20,1,4,1,221,18400.964,5.77
20,1,4,1,241,18644.797,4.10
20,1,4,1,261,20703.189,6.11
20,1,4,1,281,20464.122,3.79
20,1,4,1,301,20389.888,3.91
20,1,5,1,1,42.390,1.07
20,1,5,1,21,6642.588,15.80
20,1,5,1,41,13661.338,13.19
20,1,5,1,61,16898.017,9.22
20,1,5,1,81,18442.468,7.50
20,1,5,1,101,18682.004,6.49
20,1,5,1,121,19419.468,5.72
20,1,5,1,141,20079.814,5.23
20,1,5,1,161,19447.454,3.84
20,1,5,1,181,19582.703,3.89
20,1,5,1,201,19389.302,3.35
20,1,5,1,221,21783.347,4.02
20,1,5,1,241,18520.262,4.89
20,1,5,1,261,18747.203,3.22
20,1,5,1,281,19236.825,2.61
20,1,5,1,301,19942.969,3.08
20,12,1,1,1,25.241,1.06
20,12,1,1,21,4024.350,17.80
20,12,1,1,41,11705.678,20.68
20,12,1,1,61,17204.456,11.12
20,12,1,1,81,17821.563,11.95
20,12,1,1,101,15358.976,12.13
20,12,1,1,121,19196.730,6.29
20,12,1,1,141,19132.114,4.87
20,12,1,1,161,19565.746,4.42
20,12,1,1,181,20374.460,4.18
20,12,1,1,201,19358.948,3.64
20,12,1,1,221,20346.937,3.46
20,12,1,1,241,19659.750,3.71
20,12,1,1,261,20511.071,3.38
20,12,1,1,281,20115.001,3.79
20,12,1,1,301,19975.748,3.99
20,12,2,1,1,40.462,1.07
20,12,2,1,21,4431.701,17.87
20,12,2,1,41,10169.410,21.99
20,12,2,1,61,16798.776,16.84
20,12,2,1,81,16719.969,12.57
20,12,2,1,101,18833.353,7.63
20,12,2,1,121,18823.249,6.69
20,12,2,1,141,19361.156,5.56
20,12,2,1,161,20026.748,4.99
20,12,2,1,181,18486.187,5.36
20,12,2,1,201,19671.218,4.35
20,12,2,1,221,19892.685,4.20
20,12,2,1,241,20206.417,4.08
20,12,2,1,261,19536.607,3.90
20,12,2,1,281,18547.685,6.10
20,12,2,1,301,19146.234,4.32
20,12,3,1,1,25.627,1.07
20,12,3,1,21,2846.924,19.38
20,12,3,1,41,10908.469,19.88
20,12,3,1,61,16973.273,11.08
20,12,3,1,81,17633.851,11.49
20,12,3,1,101,18682.778,8.22
20,12,3,1,121,19096.341,6.42
20,12,3,1,141,19602.726,5.16
20,12,3,1,161,19552.317,4.57
20,12,3,1,181,19223.020,3.73
20,12,3,1,201,19321.534,3.24
20,12,3,1,221,20564.182,3.25
20,12,3,1,241,19124.974,3.29
20,12,3,1,261,20179.318,4.21
20,12,3,1,281,19726.150,3.39
20,12,3,1,301,19118.302,4.08
20,12,4,1,1,28.231,1.06
20,12,4,1,21,2666.041,20.29
20,12,4,1,41,10205.048,21.77
20,12,4,1,61,16645.888,14.09
20,12,4,1,81,17760.345,11.69
20,12,4,1,101,18917.560,8.15
